fecha_extraccion,operacion,tipo_propiedad,titulo,precio_usd,alicuota_usd,superficie_m2,habitaciones,banos,estacionamientos,ubicacion_textual,ciudad,provincia,texto_card,url_aviso,pagina_resultado
2026-03-28T23:27:22.459666,alquiler,departamento,Br cumbaya en renta suite amoblada 60 m,750.0,1.0,72,1,1.0,1,"Cumbayá, Quito",Quito,Pichincha,"USD 750 USD 1 Alícuota 72 m² tot. 1 hab. 1 baño Leonardo Da Vinci y Miguel Angel, Cumbayá, Quito Cumbaya, la primavera, En renta suite amoblada 60 m2, cuenta con todos los servicios básicos incluidos luz, agua, internet, Residencia de departamentos y suites cerca a la Iglesia de la Primavera, Scala Shopping, a 10 minutos de la usfq ideal para estudiantes de la usfq, ejecutivos que trabajan por el sector de CumbayáNo es edificio, No se aceptan mascotas -60 mt2 habitables, acabados de lujo, totalmente amoblada y equipada- Cocina estilo americano, sala comedor, pequeña area de escritorio- Habitación con cama king, closets, 1 baño completo- 1 garage- Área de máquinas comunal, área de bbq y estar &quot;A un click de tu nuevo hogar&quot;",https://www.plusvalia.com/propiedades/clasificado/alclapin-br-cumbaya-en-renta-suite-amoblada-60-m-149137552.html?n_src=Listado&n_pg=1&n_pos=11,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460124,alquiler,departamento,Departamento con ubicacion privilegiada en cumbaya,1270.0,130.0,90,2,3.0,2,"Vía Lactea Cumbayá, Quito",Quito,Pichincha,"USD 1.270 USD 130 Alícuota 90 m² tot. 2 hab. 3 baños 2 estac. Vía Lactea Cumbayá, Quito Departamento ubicado en la Zona del Colegio Menor, La Victoria, Edf. Olivo. Esta Urbanización cuenta con áreas comunal, piscina, área de niños, gimnasio, roof top con zona de bbq. El departamento 2 habitaciones, sala exterior con chimenea, tiene todo el sistema eléctrico, calentamiento de agua con bomba de calor, sistema eléctrico en las cortinas, jacuzzi en el dormitorio master, toda la iluminación es de Studio K, dos estacionamientos y bodega. Zona céntrica de Cumbayá cercanía a colegios y lugares de esparcimiento, tiene acceso directo al Chaquiñán, guardianía 24 horas, tiene planta eléctrica para uso 100% del edificio. Condominio $130, 71 al mes.",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-con-ubicacion-privilegiada-en-cumbaya-149103878.html?n_src=Listado&n_pg=1&n_pos=12,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460198,alquiler,departamento,Suite amoblada en arriendo por estrenar en cumbaya,1000.0,1.0,62,1,1.0,1,"Avenida María Angélica Idrovo Cumbayá, Quito",Quito,Pichincha,"USD 1.000 USD 1 Alícuota 62 m² tot. 1 hab. 1 baño 1 estac. Avenida María Angélica Idrovo Cumbayá, Quito Suite amoblada en arriendo por estrenar en cumbayá Valor $1. 000 incluido alícuota. 62 m2 habitables. Edificio nuevo por estrenar. 1 dormitorio. 1 parqueadero. 1 baño completo. 1 baño social. 1 bodega. Terraza. Piscina. Gimnasio. Area bbq. Sala comunal. Totalmente equipada con línea blanca y muebles. Seguridad 24 horas con guardiania y circuito de cámaras. En pleno corazón de Cumbayá diagonal al Botanico",https://www.plusvalia.com/propiedades/clasificado/alclapin-suite-amoblada-en-arriendo-por-estrenar-en-cumbaya-149291358.html?n_src=Listado&n_pg=1&n_pos=13,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460263,alquiler,departamento,Departamento amoblado de 124 m sup2 en alquiler en la,1000.0,147.0,150,3,2.0,2,"6 de diciembre y Portugal La Carolina, Quito",Quito,Pichincha,"USD 1.000 USD 147 Alícuota 150 m² tot. 3 hab. 2 baños 2 estac. 6 de diciembre y Portugal La Carolina, Quito Ubicado en el sector 6 de Diciembre y Portugal, con acceso inmediato a transporte público. A 100 m de la parada de la Ecovía y a solo 3 cuadras del Parque La Carolina. Restaurantes, cafeterías, farmacias, entidades financieras y servicios a pocos pasos. Área útil: 124, 40 m² Área total: 150 m² 2 parqueaderos. Edificio con: * Guardianía privada. * Cámaras de vigilancia. * Ascensor. * Salón comunal. * Área de bbq. * Área de secado. Distribución: * Sala – comedor con vista a la ciudad. * Cocina amplia con desayunador. * 3 dormitorios amplios y bien iluminados. * 2 ½ baños. * Área de máquinas. * Baño de servicio. Departamento completamente amoblado y en excelente estado. Agende su visita y viva en una de las zonas más dinámicas y cotizadas de Quito. #LaCarolina #DepartamentoAmoblado #ArriendoQuito #QuitoNorte #Inmovez #VidaUrbana #UbicaciónEstratégica",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-amoblado-de-124-m-sup2--en-alquiler-en-la-149173798.html?n_src=Listado&n_pg=1&n_pos=14,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460344,alquiler,departamento,USD 400 USD 35 Alícuota 91 m² tot.,400.0,35.0,91,3,2.0,1,"Avenida Chillo Jijon Conocoto, Quito",Quito,Pichincha,"USD 400 USD 35 Alícuota 91 m² tot. 3 hab. 2 baños 1 estac. Avenida Chillo Jijon Conocoto, Quito Departamento en Renta en Dean Bajo | 3 Dormitorios + Balcón | Vista Panorámica | Ascensor. Amplio y moderno departamento en renta ubicado en el sector Dean Bajo Conocoto Valle de los Chillos. Distribución. Departamento de 3 dormitorios. Dormitorio máster amplio con clóset y baño privado. 2 dormitorios adicionales con amplios clósets. 1 baño completo compartido. Sala y comedor con excelente iluminación natural. Cocina estilo americano con muebles altos y bajos. Desayunador con mesón de granito. Área de máquinas. Balcón privado con buena vista. 1 parqueadero cubierto. Exterior. Áreas verdes. Terraza comunal con pérgola. Zona bbq. Parque infantil. Ubicación y entorno. Ubicado en Dean Bajo Conocoto. Cerca de la Unidad Educativa Gutenberg Schule. A pocos minutos del Municipio del Valle de los Chillos. Cercano a San Luis Shopping, Santa María, Tuti y farmacias. Transporte público a pocos pasos. Sector residencial con fácil acceso a servicios y comercios. Características destacadas. Departamento con excelente vista desde el balcón. Ascensor que llega a todos los pisos. Conjunto con seguridad y guardianía. Salón comunal con baños. Parqueaderos de visitas. Cisterna comunal. Generador eléctrico para áreas comunales. Ideal para. Familias que buscan comodidad y seguridad. Personas que desean vivir en el Valle de los Chillos con buena ubicación. Clientes que valoran espacios amplios, vista y accesibilidad",https://www.plusvalia.com/propiedades/clasificado/alclapin-renta-departamento-3-dorm.-con-balcon-vista-panoramica-149338564.html?n_src=Listado&n_pg=1&n_pos=15,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460418,alquiler,departamento,Rento departamento de lujo por estrenar con vista a la,1000.0,150.0,109,2,2.0,1,"CUMBAYA Cumbayá, Quito",Quito,Pichincha,"USD 1.000 USD 150 Alícuota 109 m² tot. 2 hab. 2 baños 1 estac. CUMBAYA Cumbayá, Quito 2 dormitorios cada uno con su baño. 1 baño social. 1 parquedo. 1 bodega. area de maquinas. linea blanca. vista espectacular. edificio cuenta: hidromasajes. piscina. area de eventos. bbq. squash. bolos area de musica. area de juegos. area de juegos de niños. cine. poker room. gym. sauna turco. area de trabajo",https://www.plusvalia.com/propiedades/clasificado/alclapin-rento-departamento-de-lujo-por-estrenar-con-vista-a-la-147329172.html?n_src=Listado&n_pg=1&n_pos=16,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460526,alquiler,departamento,Departamento de 100 m sup2 con 2 habitaciones en,480.0,102.0,100,2,2.0,2,"De Los Motilones El Batán, Quito",Quito,Pichincha,"USD 480 USD 102 Alícuota 100 m² tot. 2 hab. 2 baños 2 estac. De Los Motilones El Batán, Quito Departamento en alquiler ubicado en El Batán, con una superficie total de 100 m². Este inmueble cuenta con 2 habitaciones y 2 baños, ideal para familias pequeñas o parejas. Disfruta de una excelente iluminación natural en todos los espacios. La distribución interior incluye una sala, comedor y cocina. Cuenta con 2 recámaras, ofreciendo privacidad y confort. El departamento dispone de 1 estacionamiento. Además, el edificio ofrece control de accesos para mayor seguridad. El Batán es una zona residencial tranquila, con fácil acceso a servicios y comercios. Encontrarás supermercados, farmacias y bancos cercanos. La zona cuenta con varias opciones de transporte público, facilitando la movilidad hacia otros puntos de la ciudad. Cercanía de la Estación Río Coca y acceso a Centros Comerciales, Centros Educativos, Financieros, Universidad de las Américas. El valor de alquiler incluye alícuota.",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-de-100-m-sup2--con-2-habitaciones-en-149317322.html?n_src=Listado&n_pg=1&n_pos=17,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460648,alquiler,departamento,Renta departamento amoblado republica del salvador,750.0,102.0,90,3,2.0,1,"2 baños Republica del Salvador La Carolina, Quito",Quito,Pichincha,"USD 750 USD 102 Alícuota 90 m² tot. 3 hab. 2 baños Republica del Salvador La Carolina, Quito Rento departamento amoblado – república del salvadorexcelente ubicación, en uno de los sectores más cotizados de la ciudadCerca de colegios, parques, entidades financieras y públicasFácil acceso a transporte públicoEdificio modernoDos ascensoresGuardia 24 horasSalón comunalLavandería comunalGimnasioEl departamento cuenta con: Sala y comedorCocina tipo americanaTres dormitoriosDos baños completosLámparas y cortinas1 parqueaderovalor 750 precio fijomás dos meses de garantíaIdeal para familias o profesionales que buscan comodidad, seguridad y una ubicación estratégica.",https://www.plusvalia.com/propiedades/clasificado/alclapin-renta-departamento-amoblado-republica-del-salvador-149321695.html?n_src=Listado&n_pg=1&n_pos=18,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460759,alquiler,departamento,Renta departamento amoblado en naciones unidas,1790.0,,145,3,3.0,1,"Naciones Unidas La Carolina, Quito",Quito,Pichincha,"USD 1.790 145 m² tot. 3 hab. 3 baños 1 estac. Av. Naciones Unidas La Carolina, Quito Renta departamento amoblado en naciones unidas, edificio unique, 3 habitaciones cada una con su baño. Excelente ubicación en el sector de Naciones Unidas, zona estratégica cerca de la Plataforma Gubernamental, Quicentro Norte, Parque La Carolina, cci y Estadio Olímpico. Área habitable: 125 m² Piso medio. Distribución: 3 habitaciones, cada una con baño privado. Baño social. Sala y comedor amplios. Cocina equipada. Incluye: 1 parqueadero. 1 bodega. El edificio cuenta con amenidades premium: Piscina. Sauna e hidromasajes. Gimnasio. Área bbq. Guardianía 24/7. Valor de renta: $1. 690 (incluye condominio e internet) Ideal para ejecutivos, expatriados o familias que buscan comodidad, seguridad y excelente ubicación.",https://www.plusvalia.com/propiedades/clasificado/alclapin-renta-departamento-amoblado-en-naciones-unidas-149103871.html?n_src=Listado&n_pg=1&n_pos=19,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
2026-03-28T23:27:22.460841,alquiler,departamento,Departamento semi amoblado de arriendo en la carrion,650.0,,110,2,2.0,1,"CARRION 12 de Octubre, Quito",Quito,Pichincha,"USD 650 110 m² tot. 2 hab. 2 baños 1 estac. CARRION 12 de Octubre, Quito A dos cuadras de la 12 de octubre. se renta departamento amoblado – 6 de diciembre Y carrión. Se arrienda departamento de 2 dormitorios completamente amoblado, ubicado en una zona estratégica, cerca de centros comerciales y con excelentes amenidades. Características: 2 dormitorios, cada uno con su baño privado. Baño social. Sala y comedor estilo americano amoblados. Cocina equipada. Área de máquinas con lavadora y secadora. Amenidades del edificio: sauna, turco, hidromasaje área de juegos ping pong. Terraza. Ascensor. Sala de eventos. Guardianía 24/7. Parque y excelente vista. Ideal para quienes buscan comodidad, seguridad y una ubicación privilegiada.",https://www.plusvalia.com/propiedades/clasificado/alclapin-departamento-semi-amoblado-de-arriendo-en-la-carrion-146089734.html?n_src=Listado&n_pg=1&n_pos=20,https://www.plusvalia.com/alquiler/departamentos/pichincha/quito
